PL5_12_EPI.xml		Epistolae Dubiae	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL5_13_COM.xml		Epistolae Dubiae	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL5_14_ANT.xml		Epistolae Dubiae	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL6_0_EPIS.xml		Epistolae Decretaque	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL6_1_§ IV.xml		Epistolae Decretaque	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL6_2_§ V..xml		Epistolae Decretaque	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL6_3_§ VI.xml		Epistolae Decretaque	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL6_4_ANON.xml		Epistolae Decretaque	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL6_5_CELS.xml		Epistolae Decretaque	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_0_LACT.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_1_VENA.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_2_CŒLI.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_3_APPE.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_4_EPIS.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_5_APPE.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_6_APPE.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL7_7_APPE.xml		Fragmenta	None	Jacques Paul Migne	Garnier	1844	No citable units founds
PL8_0_CONSTANTINI MAGNI SC.xml	PL8_0_CONSTANTINI MAGNI SC	None	None	None	None	None	section, p
PL8_1_CONCIONES. (.xml	PL8_1_CONCIONES. (	None	None	None	None	None	section
PL8_2_UNKNOWN.xml	PL8_2_UNKNOWN	None	None	None	None	None	section
PL8_3_Pars tertia..xml	PL8_3_Pars tertia.	None	None	None	None	None	section, p
PL8_4_APPENDIX AD OPERA CO.xml	PL8_4_APPENDIX AD OPERA CO	None	None	None	None	None	section
PL8_5_ANNO DOMINI CCCXXI. .xml	PL8_5_ANNO DOMINI CCCXXI. 	None	None	None	None	None	p
PL8_6_UNKNOWN.xml	PL8_6_UNKNOWN	None	None	None	None	None	p
PL8_7_EUMENII PANEGYRICUS .xml	PL8_7_EUMENII PANEGYRICUS 	None	None	None	None	None	section, p
PL8_8_SYNOPSIS ORATIONIS P.xml	PL8_8_SYNOPSIS ORATIONIS P	None	None	None	None	None	p
PL8_9_EUMENII GRATIARUM AC.xml	PL8_9_EUMENII GRATIARUM AC	None	None	None	None	None	section, p
PL8_10_INCERTI PANEGYRICUS,.xml	PL8_10_INCERTI PANEGYRICUS,	None	None	None	None	None	section, p
PL8_11_UNKNOWN.xml	PL8_11_UNKNOWN	None	None	None	None	None	chapter, section, p
PL8_12_OPERA QUAE EXSTANT..xml	PL8_12_OPERA QUAE EXSTANT.	None	None	None	None	None	chapter, section, p
PL8_13_APPENDIX. VARIA DUBI.xml	PL8_13_APPENDIX. VARIA DUBI	None	None	None	None	None	section, p
PL8_14_CANON VEL CONSTITUTI.xml	PL8_14_CANON VEL CONSTITUTI	None	None	None	None	None	chapter, section, p
PL8_15_UNKNOWN.xml	PL8_15_UNKNOWN	None	None	None	None	None	section
PL8_16_SCRIPTA DUBIAE AUCTO.xml	PL8_16_SCRIPTA DUBIAE AUCTO	None	None	None	None	None	No citable units founds
PL8_17_UNKNOWN.xml	PL8_17_UNKNOWN	None	None	None	None	None	No citable units founds
PL8_18_UNKNOWN.xml	PL8_18_UNKNOWN	None	None	None	None	None	p
PL8_19_EPISTOLA JULII AD AN.xml	PL8_19_EPISTOLA JULII AD AN	None	None	None	None	None	section, p
PL8_20_EPISTOLA (3) JULII P.xml	PL8_20_EPISTOLA (3) JULII P	None	None	None	None	None	section, p
PL8_21_EPISTOLA VALENTIS EΤ.xml	PL8_21_EPISTOLA VALENTIS EΤ	None	None	None	None	None	section
PL8_22_MONITUM IN EPISTOLAM.xml	PL8_22_MONITUM IN EPISTOLAM	None	None	None	None	None	p
PL8_23_EPISTOLA MARCELLI AN.xml	PL8_23_EPISTOLA MARCELLI AN	None	None	None	None	None	section, p
PL8_24_EPISTOLA SYNODI SARD.xml	PL8_24_EPISTOLA SYNODI SARD	None	None	None	None	None	p
PL8_25_EADEM EPISTOLA EX HI.xml	PL8_25_EADEM EPISTOLA EX HI	None	None	None	None	None	No citable units founds
PL8_26_APPENDIX. SCRIPTA SU.xml	PL8_26_APPENDIX. SCRIPTA SU	None	None	None	None	None	p
PL8_27_EPISTOLA JULII EPISC.xml	PL8_27_EPISTOLA JULII EPISC	None	None	None	None	None	section, p
PL8_28_UNKNOWN.xml	PL8_28_UNKNOWN	None	None	None	None	None	section, section, p
PL8_29_FRAGMENTA SCRIPTORUM.xml	PL8_29_FRAGMENTA SCRIPTORUM	None	None	None	None	None	fragment, p
PL8_30_DECRETA JULII ΡΑΡAΕ .xml	PL8_30_DECRETA JULII ΡΑΡAΕ 	None	None	None	None	None	section
PL8_31_EPISTOLA I (1).xml	PL8_31_EPISTOLA I (1)	None	None	None	None	None	p
PL8_32_EPISTOLA (1).xml	PL8_32_EPISTOLA (1)	None	None	None	None	None	No citable units founds
PL8_33_EPISTOLA II (1)..xml	PL8_33_EPISTOLA II (1).	None	None	None	None	None	p
PL8_34_MARII VICTORINI LIBE.xml	PL8_34_MARII VICTORINI LIBE	None	None	None	None	None	p
PL8_35_VICTORINI DE VERBIS .xml	PL8_35_VICTORINI DE VERBIS 	None	None	None	None	None	p
PL8_36_CANDIDI ARIANI LIBER.xml	PL8_36_CANDIDI ARIANI LIBER	None	None	None	None	None	p
PL8_37_VICTORINI LIBER DE G.xml	PL8_37_VICTORINI LIBER DE G	None	None	None	None	None	p
PL8_38_CANDIDI ARIANI EPIST.xml	PL8_38_CANDIDI ARIANI EPIST	None	None	None	None	None	p
PL8_39_VICTORINI ADVERSUS A.xml	PL8_39_VICTORINI ADVERSUS A	None	None	None	None	None	p
PL8_40_VICTORINI.xml	PL8_40_VICTORINI	None	None	None	None	None	p
PL8_41_VICTORINI DE TRINITA.xml	PL8_41_VICTORINI DE TRINITA	None	None	None	None	None	section
PL8_42_VICTORINI IN EPISTOL.xml	PL8_42_VICTORINI IN EPISTOL	None	None	None	None	None	section
PL8_43_VICTORINI IN EPISTOL.xml	PL8_43_VICTORINI IN EPISTOL	None	None	None	None	None	No citable units founds
PL8_44_VICTORINI IN EPISTOL.xml	PL8_44_VICTORINI IN EPISTOL	None	None	None	None	None	section
PL8_45_UNKNOWN.xml	PL8_45_UNKNOWN	None	None	None	None	None	section, p
PL8_46_OSII SENTENTIAE.xml	PL8_46_OSII SENTENTIAE	None	None	None	None	None	section, section
PL8_47_CORDUBENSIS EPISCOPI.xml	PL8_47_CORDUBENSIS EPISCOPI	None	None	None	None	None	section
PL8_48_OPERA QUAE EXSTANT..xml	PL8_48_OPERA QUAE EXSTANT.	None	None	None	None	None	p
