Filename	URN	Title	Author	Editor	Publisher	Publication Year
PL54_0_SER.xml		Sermones In Praecupuis Totius Anni Festivitatibus Ad Romanam Plebem         Habiti	None	Jacques Paul Migne	Garnier	1846	No citable units founds
PL80_1_SAN.xml		None	None	None	None	None	No citable units founds
PL80_27_FL.xml		None	None	None	None	None	No citable units founds
PL80_56_AP.xml		None	None	None	None	None	[['div']]
PL80_78_MA.xml		None	None	None	None	None	No citable units founds
PL80_65_UN.xml		None	None	None	None	None	[['p']]
PL80_9_DYN.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_20_BU.xml		None	None	None	None	None	[['div']]
PL80_28_UN.xml		None	None	None	None	None	No citable units founds
PL80_12_VI.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_85_SA.xml		None	None	None	None	None	[['p']]
PL80_7_UNK.xml		None	None	None	None	None	No citable units founds
PL80_87_TA.xml		None	None	None	None	None	[['div'], [('div', 'p'), ('div', 'div')]]
PL80_4_TAR.xml		None	None	None	None	None	No citable units founds
PL80_47_DE.xml		None	None	None	None	None	No citable units founds
PL80_43_IT.xml		None	None	None	None	None	No citable units founds
PL80_3_UNK.xml		None	None	None	None	None	No citable units founds
PL80_10_SA.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_34_SA.xml		None	None	None	None	None	[['p']]
PL80_39_AN.xml		None	None	None	None	None	[['div']]
PL80_22_AD.xml		None	None	None	None	None	No citable units founds
PL80_38_AP.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_60_AP.xml		None	None	None	None	None	[['div']]
PL80_67_UN.xml		None	None	None	None	None	No citable units founds
PL80_79_CH.xml		None	None	None	None	None	No citable units founds
PL80_75_AN.xml		None	None	None	None	None	No citable units founds
PL80_16_BO.xml		None	None	None	None	None	No citable units founds
PL80_29_MA.xml		None	None	None	None	None	No citable units founds
PL80_80_UN.xml		None	None	None	None	None	No citable units founds
PL80_21_AN.xml		None	None	None	None	None	No citable units founds
PL80_61_UN.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_48_AP.xml		None	None	None	None	None	No citable units founds
PL80_13_SA.xml		None	None	None	None	None	[['div']]
PL80_52_FO.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_11_AN.xml		None	None	None	None	None	[['p']]
PL80_59_UN.xml		None	None	None	None	None	[['div']]
PL80_86_TA.xml		None	None	None	None	None	No citable units founds
PL80_84_SA.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_40_SA.xml		None	None	None	None	None	No citable units founds
PL80_33_SA.xml		None	None	None	None	None	[['div']]
PL80_15_PR.xml		None	None	None	None	None	No citable units founds
PL80_68_AP.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_71_DA.xml		None	None	None	None	None	[['p']]
PL80_88_AP.xml		None	None	None	None	None	No citable units founds
PL80_8_DYN.xml		None	None	None	None	None	[['div']]
PL80_62_UN.xml		None	None	None	None	None	No citable units founds
PL80_6_DIN.xml		None	None	None	None	None	No citable units founds
PL80_81_AN.xml		None	None	None	None	None	[['div']]
PL80_83_UN.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_72_SA.xml		None	None	None	None	None	[['p']]
PL80_63_VE.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_69_UN.xml		None	None	None	None	None	[['div']]
PL80_32_SA.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_50_SI.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_44_ΑN.xml		None	None	None	None	None	No citable units founds
PL80_42_SA.xml		None	None	None	None	None	No citable units founds
PL80_24_UN.xml		None	None	None	None	None	[['div'], [('div', 'div')]]
PL80_37_UN.xml		None	None	None	None	None	[['div']]
PL80_26_UN.xml		None	None	None	None	None	No citable units founds
PL80_35_SA.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_46_DE.xml		None	None	None	None	None	[['p']]
PL80_51_SI.xml		None	None	None	None	None	[['p']]
PL80_77_JO.xml		None	None	None	None	None	[['div']]
PL80_5_UNK.xml		None	None	None	None	None	No citable units founds
PL80_54_AN.xml		None	None	None	None	None	No citable units founds
PL80_18_EP.xml		None	None	None	None	None	No citable units founds
PL80_57_II.xml		None	None	None	None	None	No citable units founds
PL80_14_FU.xml		None	None	None	None	None	No citable units founds
PL80_23_EX.xml		None	None	None	None	None	[['p']]
PL80_36_SA.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_2_UNK.xml		None	None	None	None	None	No citable units founds
PL80_30_UN.xml		None	None	None	None	None	No citable units founds
PL80_17_UN.xml		None	None	None	None	None	No citable units founds
PL80_73_AN.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_53_SA.xml		None	None	None	None	None	No citable units founds
PL80_66_PR.xml		None	None	None	None	None	No citable units founds
PL80_49_AN.xml		None	None	None	None	None	[['div']]
PL80_74_SA.xml		None	None	None	None	None	[['div']]
PL80_41_AN.xml		None	None	None	None	None	[['div']]
PL80_58_II.xml		None	None	None	None	None	No citable units founds
PL80_0_ANN.xml		None	None	None	None	None	No citable units founds
PL80_82_VI.xml		None	None	None	None	None	No citable units founds
PL80_31_SA.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_45_ET.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL80_19_UN.xml		None	None	None	None	None	No citable units founds
PL80_70_AP.xml		None	None	None	None	None	[['p']]
PL80_55_UN.xml		None	None	None	None	None	[['div'], [('div', 'div')], [('div', 'div', 'p')]]
PL80_76_SA.xml		None	None	None	None	None	No citable units founds
PL80_64_CH.xml		None	None	None	None	None	[['p']]
PL80_25_AP.xml		None	None	None	None	None	[['div']]
PL37_0_.xml		Enarrationes in Psalmos (80-144)	None	Jacques Paul Migne	Garnier	1865	No citable units founds
PL19_6_EPI.xml		None	None	None	None	None	[['div']]
PL19_8_UNK.xml		None	None	None	None	None	[['div'], [('div', 'p')]]
PL19_9_DEC.xml		None	None	None	None	None	[['div']]
PL19_10_SE.xml		None	None	None	None	None	[['div']]
PL19_11_VA.xml		None	None	None	None	None	[['div']]
PL19_4_TES.xml		None	None	None	None	None	No citable units founds
PL19_1_DE .xml		None	None	None	None	None	[['p']]
PL19_7_UNK.xml		None	None	None	None	None	[['p']]
PL19_0_UNK.xml		None	None	None	None	None	[['p']]
PL19_3_P. .xml		None	None	None	None	None	[['div']]
PL19_2_TRI.xml		None	None	None	None	None	[['p']]
PL19_12_DE.xml		None	None	None	None	None	[['div'], [('div', 'p'), ('div', 'div')]]
PL19_5_EPI.xml		None	None	None	None	None	No citable units founds
PL22_6_IND.xml		Epistolae Secundum Ordinem Temporum Distributae	None	Jacques Paul Migne	Garnier	1845	No citable units founds
